Country,Coffee Type,Month
Angola,(R/A),April
Bolivia (Plurinational State of),(A),April
Brazil,(A/R),April
Burundi,(A/R),April
Ecuador,(A/R),April
Indonesia,(R/A),April
Madagascar,(R),April
Malawi,(A),April
Papua New Guinea,(A/R),April
Paraguay,(A),April
Peru,(A),April
Rwanda,(A),April
Timor-Leste,(A),April
Zimbabwe,(A),April
Congo,(R),July
Cuba,(A),July
Dominican Republic,(A/R),July
Haiti,(A),July
Philippines,(R/A),July
Tanzania,(A/R),July
Zambia,(A),July
Benin,(R),October
Cameroon,(R/A),October
Central African Republic,(R),October
Colombia,(A),October
Costa Rica,(A),October
Côte d'Ivoire,(R),October
Democratic Republic of Congo,(R/A),October
El Salvador,(A),October
Equatorial Guinea,(R),October
Ethiopia,(A),October
Gabon,(R),October
Ghana,(R),October
Guatemala,(A/R),October
Guinea,(R),October
Guyana,(R),October
Honduras,(A),October
India,(R/A),October
Jamaica,(A),October
Kenya,(A),October
Lao People's Democratic Republic,(R),October
Liberia,(R),October
Mexico,(A/R),October
Nepal,(A),October
Nicaragua,(A),October
Nigeria,(R),October
Panama,(A),October
Sierra Leone,(R),October
Sri Lanka,(R/A),October
Thailand,(R/A),October
Togo,(R),October
Trinidad & Tobago,(R),October
Uganda,(R/A),October
Venezuela,(A),October
Viet Nam,(R/A),October
Yemen,(A),October
