Country,File Paths ,Year,Values
Angola,Total production,1/1/1991,79.331
Bolivia (Plurinational State of),Total production,1/1/1991,103.536
Brazil,Total production,1/1/1991,27293.4934
Burundi,Total production,1/1/1991,667.199
Ecuador,Total production,1/1/1991,2123.824
Indonesia,Total production,1/1/1991,8493.196
Madagascar,Total production,1/1/1991,932.513
Malawi,Total production,1/1/1991,124.286
Papua New Guinea,Total production,1/1/1991,746.816
Paraguay,Total production,1/1/1991,79.653
Peru,Total production,1/1/1991,1200.474
Rwanda,Total production,1/1/1991,483.83
Timor-Leste,Total production,1/1/1991,0
Zimbabwe,Total production,1/1/1991,201.394
Congo,Total production,1/1/1991,3.003
Cuba,Total production,1/1/1991,302.097
Dominican Republic,Total production,1/1/1991,320.56
Haiti,Total production,1/1/1991,463.352
Philippines,Total production,1/1/1991,1018.482
Tanzania,Total production,1/1/1991,789.977
Zambia,Total production,1/1/1991,29.138
Benin,Total production,1/1/1991,0
Cameroon,Total production,1/1/1991,1725.948
Central African Republic,Total production,1/1/1991,124.781
Colombia,Total production,1/1/1991,17980.397
Costa Rica,Total production,1/1/1991,2759.619
Côte d'Ivoire,Total production,1/1/1991,4129.295
Democratic Republic of Congo,Total production,1/1/1991,1229.902
El Salvador,Total production,1/1/1991,2197.692
Equatorial Guinea,Total production,1/1/1991,2.551
Ethiopia,Total production,1/1/1991,2924.664
Gabon,Total production,1/1/1991,1.752
Ghana,Total production,1/1/1991,76.306
Guatemala,Total production,1/1/1991,3496.531
Guinea,Total production,1/1/1991,90.522
Guyana,Total production,1/1/1991,0
Honduras,Total production,1/1/1991,2321.808
India,Total production,1/1/1991,2999.749
Jamaica,Total production,1/1/1991,38.987
Kenya,Total production,1/1/1991,1514.047
Lao People's Democratic Republic,Total production,1/1/1991,0
Liberia,Total production,1/1/1991,3
Mexico,Total production,1/1/1991,4727.206
Nepal,Total production,1/1/1991,0
Nicaragua,Total production,1/1/1991,707.067
Nigeria,Total production,1/1/1991,44.313
Panama,Total production,1/1/1991,192.532
Sierra Leone,Total production,1/1/1991,54.379
Sri Lanka,Total production,1/1/1991,81.549
Thailand,Total production,1/1/1991,1468.936
Togo,Total production,1/1/1991,432.652
Trinidad & Tobago,Total production,1/1/1991,17.792
Uganda,Total production,1/1/1991,2088.001
Venezuela,Total production,1/1/1991,940.704
Viet Nam,Total production,1/1/1991,1437.848
Yemen,Total production,1/1/1991,0
Angola,Domestic consumption,1/1/1991,30
Bolivia (Plurinational State of),Domestic consumption,1/1/1991,27
Brazil,Domestic consumption,1/1/1991,8500
Burundi,Domestic consumption,1/1/1991,1.6
Ecuador,Domestic consumption,1/1/1991,350
Indonesia,Domestic consumption,1/1/1991,1280
Madagascar,Domestic consumption,1/1/1991,300
Malawi,Domestic consumption,1/1/1991,2
Papua New Guinea,Domestic consumption,1/1/1991,3
Paraguay,Domestic consumption,1/1/1991,15
Peru,Domestic consumption,1/1/1991,190
Rwanda,Domestic consumption,1/1/1991,1
Timor-Leste,Domestic consumption,1/1/1991,0
Zimbabwe,Domestic consumption,1/1/1991,8
Congo,Domestic consumption,1/1/1991,2.667
Cuba,Domestic consumption,1/1/1991,213
Dominican Republic,Domestic consumption,1/1/1991,320
Haiti,Domestic consumption,1/1/1991,330
Philippines,Domestic consumption,1/1/1991,750
Tanzania,Domestic consumption,1/1/1991,3.5
Zambia,Domestic consumption,1/1/1991,1.5
Benin,Domestic consumption,1/1/1991,0
Cameroon,Domestic consumption,1/1/1991,83.333
Central African Republic,Domestic consumption,1/1/1991,28
Colombia,Domestic consumption,1/1/1991,1269
Costa Rica,Domestic consumption,1/1/1991,375
Côte d'Ivoire,Domestic consumption,1/1/1991,50
Democratic Republic of Congo,Domestic consumption,1/1/1991,200
El Salvador,Domestic consumption,1/1/1991,180
Equatorial Guinea,Domestic consumption,1/1/1991,0
Ethiopia,Domestic consumption,1/1/1991,1264
Gabon,Domestic consumption,1/1/1991,1
Ghana,Domestic consumption,1/1/1991,17
Guatemala,Domestic consumption,1/1/1991,300
Guinea,Domestic consumption,1/1/1991,25
Guyana,Domestic consumption,1/1/1991,0
Honduras,Domestic consumption,1/1/1991,257.1
India,Domestic consumption,1/1/1991,916.667
Jamaica,Domestic consumption,1/1/1991,11
Kenya,Domestic consumption,1/1/1991,50
Lao People's Democratic Republic,Domestic consumption,1/1/1991,0
Liberia,Domestic consumption,1/1/1991,3
Mexico,Domestic consumption,1/1/1991,1200
Nepal,Domestic consumption,1/1/1991,0
Nicaragua,Domestic consumption,1/1/1991,138
Nigeria,Domestic consumption,1/1/1991,35.75
Panama,Domestic consumption,1/1/1991,67
Sierra Leone,Domestic consumption,1/1/1991,9
Sri Lanka,Domestic consumption,1/1/1991,67
Thailand,Domestic consumption,1/1/1991,220
Togo,Domestic consumption,1/1/1991,1
Trinidad & Tobago,Domestic consumption,1/1/1991,11.5
Uganda,Domestic consumption,1/1/1991,75
Venezuela,Domestic consumption,1/1/1991,815.48
Viet Nam,Domestic consumption,1/1/1991,230
Yemen,Domestic consumption,1/1/1991,0
Angola,Exportable production,1/1/1991,49.331
Bolivia (Plurinational State of),Exportable production,1/1/1991,76.536
Brazil,Exportable production,1/1/1991,18793.4934
Burundi,Exportable production,1/1/1991,665.599
Ecuador,Exportable production,1/1/1991,1773.824
Indonesia,Exportable production,1/1/1991,7213.196
Madagascar,Exportable production,1/1/1991,632.513
Malawi,Exportable production,1/1/1991,122.286
Papua New Guinea,Exportable production,1/1/1991,743.816
Paraguay,Exportable production,1/1/1991,64.653
Peru,Exportable production,1/1/1991,1010.474
Rwanda,Exportable production,1/1/1991,482.83
Timor-Leste,Exportable production,1/1/1991,0
Zimbabwe,Exportable production,1/1/1991,193.394
Congo,Exportable production,1/1/1991,0.336
Cuba,Exportable production,1/1/1991,89.097
Dominican Republic,Exportable production,1/1/1991,0.56
Haiti,Exportable production,1/1/1991,133.352
Philippines,Exportable production,1/1/1991,268.482
Tanzania,Exportable production,1/1/1991,786.477
Zambia,Exportable production,1/1/1991,27.638
Benin,Exportable production,1/1/1991,0
Cameroon,Exportable production,1/1/1991,1642.615
Central African Republic,Exportable production,1/1/1991,96.781
Colombia,Exportable production,1/1/1991,16711.397
Costa Rica,Exportable production,1/1/1991,2384.619
Côte d'Ivoire,Exportable production,1/1/1991,4079.295
Democratic Republic of Congo,Exportable production,1/1/1991,1029.902
El Salvador,Exportable production,1/1/1991,2017.692
Equatorial Guinea,Exportable production,1/1/1991,2.551
Ethiopia,Exportable production,1/1/1991,1660.664
Gabon,Exportable production,1/1/1991,0.752
Ghana,Exportable production,1/1/1991,59.306
Guatemala,Exportable production,1/1/1991,3196.531
Guinea,Exportable production,1/1/1991,65.522
Guyana,Exportable production,1/1/1991,0
Honduras,Exportable production,1/1/1991,2064.708
India,Exportable production,1/1/1991,2083.082
Jamaica,Exportable production,1/1/1991,27.987
Kenya,Exportable production,1/1/1991,1464.047
Lao People's Democratic Republic,Exportable production,1/1/1991,0
Liberia,Exportable production,1/1/1991,0
Mexico,Exportable production,1/1/1991,3527.206
Nepal,Exportable production,1/1/1991,0
Nicaragua,Exportable production,1/1/1991,569.067
Nigeria,Exportable production,1/1/1991,8.563
Panama,Exportable production,1/1/1991,125.532
Sierra Leone,Exportable production,1/1/1991,45.379
Sri Lanka,Exportable production,1/1/1991,14.549
Thailand,Exportable production,1/1/1991,1248.936
Togo,Exportable production,1/1/1991,431.652
Trinidad & Tobago,Exportable production,1/1/1991,6.292
Uganda,Exportable production,1/1/1991,2013.001
Venezuela,Exportable production,1/1/1991,125.224
Viet Nam,Exportable production,1/1/1991,1207.848
Yemen,Exportable production,1/1/1991,0
Angola,Gross Opening stocks,1/1/1991,161
Bolivia (Plurinational State of),Gross Opening stocks,1/1/1991,39.8
Brazil,Gross Opening stocks,1/1/1991,25548
Burundi,Gross Opening stocks,1/1/1991,150
Ecuador,Gross Opening stocks,1/1/1991,250
Indonesia,Gross Opening stocks,1/1/1991,798
Madagascar,Gross Opening stocks,1/1/1991,450
Malawi,Gross Opening stocks,1/1/1991,19
Papua New Guinea,Gross Opening stocks,1/1/1991,146
Paraguay,Gross Opening stocks,1/1/1991,135
Peru,Gross Opening stocks,1/1/1991,61
Rwanda,Gross Opening stocks,1/1/1991,9
Timor-Leste,Gross Opening stocks,1/1/1991,0
Zimbabwe,Gross Opening stocks,1/1/1991,118.2
Congo,Gross Opening stocks,1/1/1991,11
Cuba,Gross Opening stocks,1/1/1991,289
Dominican Republic,Gross Opening stocks,1/1/1991,640
Haiti,Gross Opening stocks,1/1/1991,30
Philippines,Gross Opening stocks,1/1/1991,1344
Tanzania,Gross Opening stocks,1/1/1991,408.053
Zambia,Gross Opening stocks,1/1/1991,0
Benin,Gross Opening stocks,1/1/1991,0
Cameroon,Gross Opening stocks,1/1/1991,1086
Central African Republic,Gross Opening stocks,1/1/1991,59
Colombia,Gross Opening stocks,1/1/1991,4669.41
Costa Rica,Gross Opening stocks,1/1/1991,120
Côte d'Ivoire,Gross Opening stocks,1/1/1991,3352
Democratic Republic of Congo,Gross Opening stocks,1/1/1991,17
El Salvador,Gross Opening stocks,1/1/1991,512.3
Equatorial Guinea,Gross Opening stocks,1/1/1991,4
Ethiopia,Gross Opening stocks,1/1/1991,3660
Gabon,Gross Opening stocks,1/1/1991,2
Ghana,Gross Opening stocks,1/1/1991,10
Guatemala,Gross Opening stocks,1/1/1991,244.557
Guinea,Gross Opening stocks,1/1/1991,10
Guyana,Gross Opening stocks,1/1/1991,0
Honduras,Gross Opening stocks,1/1/1991,54
India,Gross Opening stocks,1/1/1991,1257
Jamaica,Gross Opening stocks,1/1/1991,0
Kenya,Gross Opening stocks,1/1/1991,552.067
Lao People's Democratic Republic,Gross Opening stocks,1/1/1991,0
Liberia,Gross Opening stocks,1/1/1991,0
Mexico,Gross Opening stocks,1/1/1991,748
Nepal,Gross Opening stocks,1/1/1991,0
Nicaragua,Gross Opening stocks,1/1/1991,63.162
Nigeria,Gross Opening stocks,1/1/1991,0
Panama,Gross Opening stocks,1/1/1991,40
Sierra Leone,Gross Opening stocks,1/1/1991,74
Sri Lanka,Gross Opening stocks,1/1/1991,6
Thailand,Gross Opening stocks,1/1/1991,207
Togo,Gross Opening stocks,1/1/1991,38.5
Trinidad & Tobago,Gross Opening stocks,1/1/1991,0
Uganda,Gross Opening stocks,1/1/1991,2900
Venezuela,Gross Opening stocks,1/1/1991,350
Viet Nam,Gross Opening stocks,1/1/1991,195
Yemen,Gross Opening stocks,1/1/1991,0
Angola,Exports,1/1/1991,74.331
Bolivia (Plurinational State of),Exports,1/1/1991,82.936
Brazil,Exports,1/1/1991,21808.4934
Burundi,Exports,1/1/1991,762.491
Ecuador,Exports,1/1/1991,1471.617
Indonesia,Exports,1/1/1991,5584.196
Madagascar,Exports,1/1/1991,679.213
Malawi,Exports,1/1/1991,122.286
Papua New Guinea,Exports,1/1/1991,794.816
Paraguay,Exports,1/1/1991,84.653
Peru,Exports,1/1/1991,971.474
Rwanda,Exports,1/1/1991,481.83
Timor-Leste,Exports,1/1/1991,0
Zimbabwe,Exports,1/1/1991,213.594
Congo,Exports,1/1/1991,0.336
Cuba,Exports,1/1/1991,159.097
Dominican Republic,Exports,1/1/1991,340.56
Haiti,Exports,1/1/1991,133.352
Philippines,Exports,1/1/1991,58.482
Tanzania,Exports,1/1/1991,807.758
Zambia,Exports,1/1/1991,26.638
Benin,Exports,1/1/1991,0
Cameroon,Exports,1/1/1991,1737.615
Central African Republic,Exports,1/1/1991,91.781
Colombia,Exports,1/1/1991,15466.866
Costa Rica,Exports,1/1/1991,2275.274
Côte d'Ivoire,Exports,1/1/1991,3857.295
Democratic Republic of Congo,Exports,1/1/1991,1025.902
El Salvador,Exports,1/1/1991,2175.562
